X,NACA 642A015-Re=  700000-Alpha=18.50, , X,NACA 642A015-Re=  700000-Alpha=18.50_Inviscid, , 
            1,    -0.4640019, ,             1,     0.5632413, , 
     0.987976,    -0.4664521, ,      0.987976,     0.2929399, , 
     0.968852,    -0.4703713, ,      0.968852,     0.2044188, , 
     0.948492,    -0.4746036, ,      0.948492,     0.1314114, , 
     0.927121,    -0.4791247, ,      0.927121,    0.07040001, , 
     0.905046,    -0.4838878, ,      0.905046,    0.01448985, , 
       0.8825,    -0.4888589, ,        0.8825,   -0.03839295, , 
     0.859621,    -0.4940221, ,      0.859621,   -0.08955641, , 
     0.836521,    -0.4993659, ,      0.836521,    -0.1403535, , 
       0.8133,    -0.5048805, ,        0.8133,     -0.191205, , 
     0.790031,     -0.510561, ,      0.790031,    -0.2435442, , 
     0.766768,    -0.5164071, ,      0.766768,     -0.298148, , 
     0.743584,    -0.5224131, ,      0.743584,    -0.3564527, , 
     0.720568,    -0.5285682, ,      0.720568,    -0.4198635, , 
     0.697763,     -0.534876, ,      0.697763,    -0.4850047, , 
     0.675156,    -0.5413552, ,      0.675156,    -0.5510111, , 
     0.652717,    -0.5480307, ,      0.652717,    -0.6179358, , 
     0.630434,     -0.554924, ,      0.630434,    -0.6860106, , 
     0.608302,    -0.5620562, ,      0.608302,    -0.7559233, , 
     0.586311,    -0.5694531, ,      0.586311,    -0.8270128, , 
     0.564453,    -0.5771421, ,      0.564453,    -0.8995656, , 
     0.542737,    -0.5851469, ,      0.542737,    -0.9754087, , 
     0.521186,     -0.593489, ,      0.521186,     -1.054876, , 
     0.499817,    -0.6021958, ,      0.499817,     -1.136936, , 
     0.478626,     -0.611307, ,      0.478626,     -1.220871, , 
     0.457616,    -0.6208635, ,      0.457616,     -1.307347, , 
     0.436807,    -0.6309031, ,      0.436807,     -1.396786, , 
     0.416215,    -0.6414721, ,      0.416215,     -1.486345, , 
     0.395779,    -0.6526677, ,      0.395779,     -1.568155, , 
     0.375379,    -0.6646366, ,      0.375379,     -1.634243, , 
     0.354929,    -0.6775141, ,      0.354929,     -1.697461, , 
     0.334435,       -0.6914, ,      0.334435,     -1.764575, , 
      0.31397,    -0.7063665, ,       0.31397,     -1.837884, , 
     0.293621,    -0.7224877, ,      0.293621,     -1.918389, , 
     0.273477,    -0.7398455, ,      0.273477,     -2.007476, , 
     0.253646,    -0.7585144, ,      0.253646,      -2.10604, , 
      0.23425,    -0.7785568, ,       0.23425,     -2.216276, , 
     0.215433,     -0.800008, ,      0.215433,     -2.336398, , 
      0.19735,    -0.8228616, ,       0.19735,     -2.466753, , 
     0.180145,    -0.8470787, ,      0.180145,     -2.607539, , 
     0.163935,    -0.8725982, ,      0.163935,     -2.757979, , 
     0.148792,    -0.8993593, ,      0.148792,     -2.924318, , 
     0.134744,    -0.9273324, ,      0.134744,     -3.108852, , 
     0.121817,    -0.9564497, ,      0.121817,     -3.307053, , 
     0.110023,    -0.9865997, ,      0.110023,     -3.513547, , 
     0.099329,       -1.0177, ,      0.099329,     -3.731365, , 
     0.089655,     -1.049774, ,      0.089655,     -3.960873, , 
     0.080902,     -1.082938, ,      0.080902,     -4.203524, , 
     0.072964,     -1.117401, ,      0.072964,     -4.471224, , 
     0.065739,     -1.153503, ,      0.065739,     -4.765791, , 
     0.059141,     -1.191672, ,      0.059141,     -5.090437, , 
     0.053092,     -1.232505, ,      0.053092,      -5.42866, , 
     0.047524,      -1.27674, ,      0.047524,     -5.821597, , 
