X	NACA 642A015-Re=  700000-Alpha= 0.00	NACA 642A015-Re=  700000-Alpha= 4.00	NACA 642A015-Re=  700000-Alpha= 8.00	NACA 642A015-Re=  700000-Alpha=12.00
1	0.2876074	0.2776026	0.1708204	-0.000496017
0.987976	0.2403568	0.2421404	0.1619549	-0.004046705
0.968852	0.1901775	0.1944977	0.1456287	-0.009609437
0.948492	0.1510236	0.1513697	0.1257631	-0.01549076
0.927121	0.1184614	0.1121131	0.1025145	-0.02161682
0.905046	0.09035051	0.0763571	0.07638356	-0.02785976
0.8825	0.06526108	0.04328759	0.04790518	-0.03407096
0.859621	0.04235738	0.01217567	0.01754495	-0.04003801
0.836521	0.02084395	-0.01782785	-0.01439413	-0.04533941
0.8133	0.000529151	-0.04716242	-0.04766483	-0.04910151
0.790031	-0.01917674	-0.07673225	-0.08235428	-0.0515761
0.766768	-0.03831132	-0.1071392	-0.1186419	-0.06418493
0.743584	-0.05719136	-0.1392152	-0.1568867	-0.08357378
0.720568	-0.07757325	-0.1735464	-0.1973606	-0.1095771
0.697763	-0.1126557	-0.2080674	-0.2391131	-0.1420106
0.675156	-0.2172775	-0.2418784	-0.2815506	-0.180344
0.652717	-0.2704836	-0.2746277	-0.3243989	-0.2238309
0.630434	-0.2804619	-0.3060639	-0.3675373	-0.2715847
0.608302	-0.2907039	-0.3361458	-0.4110367	-0.3227504
0.586311	-0.3020839	-0.3647141	-0.4546213	-0.3764093
0.564453	-0.3151078	-0.3961504	-0.4983504	-0.4319069
0.542737	-0.3300808	-0.4523391	-0.5428487	-0.4890734
0.521186	-0.3477244	-0.5603875	-0.5882107	-0.5476505
0.499817	-0.3676963	-0.5772777	-0.6339071	-0.6070878
0.478626	-0.3886506	-0.5940062	-0.6794443	-0.6668779
0.457616	-0.4093012	-0.6134821	-0.7248118	-0.726836
0.436807	-0.4285683	-0.6356058	-0.769751	-0.7865875
0.416215	-0.4446048	-0.6584043	-0.8123515	-0.8444522
0.395779	-0.4541867	-0.6777281	-0.8484687	-0.8969527
0.375379	-0.4549109	-0.6899932	-0.874528	-0.941008
0.354929	-0.4510449	-0.6983135	-0.8963072	-0.9810752
0.334435	-0.4453946	-0.7054069	-0.9175522	-1.020581
0.31397	-0.439023	-0.7125188	-0.9397728	-1.061222
0.293621	-0.4322716	-0.7201718	-0.9635772	-1.103891
0.273477	-0.4253737	-0.7287372	-0.9895308	-1.149397
0.253646	-0.4183483	-0.738347	-1.017905	-1.198264
0.23425	-0.4113223	-0.7492018	-1.049337	-1.251292
0.215433	-0.4034707	-0.7605944	-1.082791	-1.307737
0.19735	-0.3946281	-0.7723861	-1.118111	-1.367536
0.180145	-0.3847443	-0.7845628	-1.155171	-1.430643
0.163935	-0.3739259	-0.797239	-1.193687	-1.496887
0.148792	-0.3635656	-0.811693	-1.236012	-1.568633
0.134744	-0.3536159	-0.8278521	-1.282644	-1.646576
0.121817	-0.3427369	-0.8443611	-1.331392	-1.728659
0.110023	-0.3300995	-0.8602967	-1.380074	-1.812638
0.099329	-0.3164668	-0.8763724	-1.429648	-1.899353
0.089655	-0.3021088	-0.8930232	-1.480198	-1.989049
0.080902	-0.287605	-0.9109853	-1.532237	-2.082579
0.072964	-0.2742809	-0.9316268	-1.589152	-2.18378
0.065739	-0.2615835	-0.9546044	-1.650573	-2.293055
0.059141	-0.2487357	-0.9793981	-1.715715	-2.410415
0.053092	-0.2341321	-1.004635	-1.778616	-2.531149
0.047524	-0.2205186	-1.032933	-1.848319	-2.665143
0.042382	-0.2048423	-1.061853	-1.914855	-2.806343
0.037624	-0.1860734	-1.090725	-1.980947	-2.953839
0.033211	-0.1627393	-1.118625	-2.081021	-3.106939
0.02911	-0.1361716	-1.147685	-2.39219	-3.285625
0.025291	-0.1077735	-1.180107	-2.915823	-3.552572
0.021731	-0.0792655	-1.218834	-2.970437	-4.068372
0.018419	-0.04427188	-1.25785	-3.024894	-4.986631
0.015347	0.001005844	-1.293453	-3.089638	-5.621989
0.012504	0.05685335	-1.327173	-3.177601	-5.670527
0.009881	0.1221496	-1.367985	-3.309213	-5.725376
0.00748	0.1962233	-1.419985	-3.510059	-5.822125
0.005336	0.2873955	-1.464248	-3.801778	-6.052144
0.003567	0.4587943	-1.306003	-3.866535	-6.468317
0.002182	0.6574698	-0.9669772	-3.549979	-6.362005
0.001145	0.8333407	-0.5666753	-3.01566	-5.838186
0.000425	0.9544576	-0.1699569	-2.506387	-5.39717
