     Alpha       T1_Re0.600_M0.18_N9.0         Alpha       T1_Re0.700_M0.18_N9.0         Alpha       T1_Re1.000_M0.18_N9.0         Alpha       T1_Re1.300_M0.18_N9.0    
           -1         0.7013799           -2.5         0.7328235           -2.5         0.7098561           -2.5         0.6939735  
            0         0.6756804             -2         0.7186484             -2         0.6957218             -2         0.6795042  
            1         0.6520278           -1.5         0.7048333           -1.5          0.681771           -1.5         0.6665326  
            2         0.6269814             -1         0.6912099             -1         0.6689142             -1         0.6524153  
            3         0.5823249           -0.5         0.6779558           -0.5         0.6557783           -0.5         0.6415297  
            4         0.5324262              0         0.6661196              0         0.6445162              0         0.6288468  
            5          0.346335            0.5         0.6535765            0.5         0.6314271            0.5          0.617875  
            6         0.0831676              1         0.6425883              1         0.6214516              1         0.6059651  
            7        0.04012589              2         0.6153249            1.5         0.6068179            1.5         0.5886123  
            8         0.0274752            2.5         0.5956581              2         0.5886965              2         0.5708181  
            9        0.02364005              3         0.5700379            2.5         0.5647591            2.5         0.5448728  
           10        0.02123666            3.5         0.5474603              3         0.5444233              3         0.5240791  
           11        0.01934812              4         0.5184076            3.5         0.5177385            3.5         0.4948288  
           12        0.01817589            4.5         0.4673653              4         0.4805479              4         0.4401731  
           13        0.01745304              5         0.2799077            4.5         0.3452216            4.5         0.2405094  
           14        0.01688584            5.5         0.1336236              5         0.1718194              5         0.1257566  
           15        0.01660658              6        0.07349736            5.5        0.09039364            5.5        0.07417364  
           16        0.01665588            6.5        0.04949201              6        0.05849983              6        0.04956171  
           17         0.0187738              7        0.03699574            6.5        0.04076175            6.5        0.03421815  
           18        0.02276629            7.5        0.02991857              7        0.03046993              7        0.02582654  
           19        0.02082595              8        0.02562568            7.5        0.02460137            7.5        0.02125319  
           20        0.01869623              9        0.02126095              8        0.02115128              8        0.01837661  
           20        0.01869623              9.5        0.01993836            8.5        0.01872995            8.5        0.01674399
           20        0.01869623               10        0.01889785              9        0.01717548              9        0.01521861
           20        0.01869623             10.5        0.01819143            9.5         0.0162757            9.5        0.01438276
           20        0.01869623               11         0.0176784             10        0.01555749             10        0.01381022
          20        0.01869623              11.5        0.01717611           10.5        0.01512365           10.5         0.0133027
          20        0.01869623                  12        0.01671788             11        0.01473189             11        0.01280686
          20        0.01869623               12.5        0.01631441           11.5        0.01432588           11.5        0.01244867
          20        0.01869623                  13         0.0159638             12        0.01394103             12        0.01217938
          20        0.01869623              13.5        0.01565075           12.5        0.01358989           12.5        0.01169707
          20        0.01869623                14        0.01536439             13        0.01321581             13        0.01130784
          20        0.01869623              14.5        0.01523492           13.5        0.01275662           13.5        0.01094868
          20        0.01869623                 15        0.01510984             14          0.012418             14        0.01060995
          20        0.01869623               15.5         0.0149929           14.5        0.01220375           14.5         0.0102776
          20        0.01869623               16.5        0.01486444             15        0.01198928             15       0.009960191
          20        0.01869623               17.5        0.01518781           15.5        0.01177833           15.5       0.009795843
          20        0.01869623               19.5         0.0184158           16.5        0.01142785           16.5       0.009460269
          20        0.01869623                19.5         0.0184158             17.5        0.01123244           17.5       0.009141531
          20        0.01869623               19.5         0.0184158             18.5        0.01127246           18.5       0.009005386
          20        0.01869623               19.5         0.0184158             18.5        0.01127246             19.5       0.009223647
