XFLR5 v6.02 Beta

Wing name :        Wing Name
Wing polar name :  T1-60.0 m/s-LLT-x0.000mm
Freestream speed :  60.000 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
    0.000   0.000063   0.000000   0.006232   0.006232   0.000000  -0.000040  -0.000010  -0.000000  -0.000000   60.0000     0.1268
    1.000   0.080243   0.000388   0.006245   0.006633   0.000000  -0.020479  -0.000000  -0.000000  -0.000000   60.0000     0.0785
    2.000   0.159447   0.001556   0.006287   0.007843   0.000000  -0.040550  -0.000000  -0.000000  -0.000000   60.0000     0.0605
    3.000   0.238355   0.003494   0.006362   0.009856   0.000000  -0.060417  -0.000000  -0.000000  -0.000000   60.0000     0.0597
    4.000   0.316915   0.006191   0.006471   0.012662   0.000000  -0.080059  -0.000000  -0.000000  -0.000000   60.0000     0.0593
    5.000   0.394647   0.009629   0.006637   0.016267   0.000000  -0.099282  -0.000000   0.000000   0.000000   60.0000     0.0589
    6.000   0.464242   0.013388   0.007709   0.021097   0.000000  -0.114881  -0.000000   0.000000   0.000000   60.0000     0.0579
    7.000   0.532083   0.017640   0.008989   0.026629   0.000000  -0.129680  -0.000000   0.000000   0.000000   60.0000     0.0569
    8.000   0.601038   0.022534   0.010106   0.032640   0.000000  -0.144831  -0.000000   0.000000  -0.000000   60.0000     0.0562
    9.000   0.670310   0.028037   0.011108   0.039144   0.000000  -0.159885  -0.000000   0.000000   0.000000   60.0000     0.0555
   10.000   0.739613   0.034151   0.012175   0.046326   0.000000  -0.174906  -0.000000   0.000000   0.000000   60.0000     0.0549
   11.000   0.816710   0.041529   0.013440   0.054969   0.000000  -0.194238  -0.000000   0.000000   0.000000   60.0000     0.0551
   12.000   0.879308   0.048377   0.014955   0.063332   0.000000  -0.206782  -0.000000   0.000000   0.000000   60.0000     0.0544
   13.000   0.931858   0.054691   0.016892   0.071583   0.000000  -0.215073  -0.000000   0.000000   0.000000   60.0000     0.0532
   14.000   0.980327   0.060890   0.019414   0.080304   0.000000  -0.222532  -0.000000   0.000000   0.000000   60.0000     0.0521
   15.000   1.025229   0.067030   0.022626   0.089656   0.000000  -0.229760  -0.000000   0.000000   0.000000   60.0000     0.0512
   16.000   1.060671   0.072366   0.027046   0.099412   0.000000  -0.234810  -0.000000   0.000000   0.000000   60.0000     0.0503
   17.000   1.086510   0.076936   0.033064   0.109999   0.000000  -0.238642  -0.000000   0.000000   0.000000   60.0000     0.0496


