XFLR5 v6.02 Beta

Wing name :        Wing Name
Wing polar name :  T1-43.6 m/s-LLT-x0.000mm
Freestream speed :  43.630 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -0.500  -0.039465   0.000099   0.006845   0.006944   0.000000   0.010040   0.000071  -0.000000  -0.000000   43.6300     0.0826
    0.500   0.040219   0.000095   0.006865   0.006960   0.000000  -0.010219   0.000000   0.000000   0.000000   43.6300     0.0812
    1.500   0.119530   0.000870   0.006852   0.007722   0.000000  -0.030352   0.000000   0.000000   0.000000   43.6300     0.0598
    2.500   0.198539   0.002419   0.006893   0.009312   0.000000  -0.050280   0.000000   0.000000   0.000000   43.6300     0.0594
    3.500   0.276841   0.004721   0.006948   0.011668   0.000000  -0.069765   0.000000   0.000000   0.000000   43.6300     0.0591
    4.500   0.354572   0.007760   0.007039   0.014800   0.000000  -0.088896   0.000000   0.000000   0.000000   43.6300     0.0587
    5.500   0.431395   0.011507   0.007225   0.018732   0.000000  -0.107547  -0.000000   0.000000   0.000000   43.6300     0.0584
    6.500   0.498233   0.015458   0.008403   0.023861   0.000000  -0.121828  -0.000000   0.000000   0.000000   43.6300     0.0571
    7.500   0.562396   0.019770   0.009929   0.029699   0.000000  -0.134940  -0.000000   0.000000   0.000000   43.6300     0.0559
    8.500   0.628344   0.024704   0.011133   0.035837   0.000000  -0.148465  -0.000000   0.000000   0.000000   43.6300     0.0550
    9.500   0.697575   0.030422   0.012400   0.042823   0.000000  -0.163579  -0.000000   0.000000   0.000000   43.6300     0.0544
   10.500   0.769970   0.037005   0.013981   0.050986   0.000000  -0.180892  -0.000000   0.000000   0.000000   43.6300     0.0545
   11.500   0.832958   0.043496   0.015615   0.059111   0.000000  -0.193906  -0.000000   0.000000   0.000000   43.6300     0.0538
   12.500   0.883078   0.049277   0.017706   0.066983   0.000000  -0.201447  -0.000000   0.000000   0.000000   43.6300     0.0526
   13.500   0.929613   0.054942   0.020507   0.075448   0.000000  -0.208319  -0.000000   0.000000   0.000000   43.6300     0.0514
   14.500   0.972749   0.060516   0.023999   0.084515   0.000000  -0.214857  -0.000000   0.000000   0.000000   43.6300     0.0505
   15.500   1.009629   0.065720   0.028432   0.094151   0.000000  -0.220367  -0.000000   0.000000   0.000000   43.6300     0.0496
   16.500   1.031150   0.069673   0.035067   0.104739   0.000000  -0.222804  -0.000000   0.000000   0.000000   43.6300     0.0488


