XFLR5 v6.02 Beta

Wing name :        Wing Name
Wing polar name :  T1-43.6 m/s-VLM1-x0.000mm
Freestream speed :  43.630 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -0.500  -0.036264   0.000076   0.006857   0.006933   0.000000   0.008626   0.000000  -0.000000  -0.000000   43.6300     0.0571
    0.500   0.036298   0.000076   0.006874   0.006950   0.000000  -0.008644   0.000000  -0.000000   0.000000   43.6300     0.0572
    1.500   0.108817   0.000687   0.006865   0.007553   0.000000  -0.025903  -0.000000  -0.000000  -0.000000   43.6300     0.0571
    2.500   0.181206   0.001907   0.006896   0.008804   0.000000  -0.043130   0.000000   0.000000  -0.000000   43.6300     0.0572
    3.500   0.253381   0.003733   0.006935   0.010668   0.000000  -0.060305  -0.000000  -0.000000  -0.000000   43.6300     0.0572
    4.500   0.325257   0.006157   0.007018   0.013175   0.000000  -0.077406   0.000000  -0.000000  -0.000000   43.6300     0.0573
    5.500   0.396747   0.009175   0.007134   0.016309   0.000000  -0.094414  -0.000000  -0.000000  -0.000000   43.6300     0.0574
    6.500   0.467770   0.012775   0.007813   0.020588   0.000000  -0.111306   0.000000   0.000000   0.000000   43.6300     0.0575
    7.500   0.538242   0.016947   0.009448   0.026396   0.000000  -0.128062  -0.000000   0.000000   0.000000   43.6300     0.0576
    8.500   0.608083   0.021679   0.010725   0.032404   0.000000  -0.144663   0.000000   0.000000   0.000000   43.6300     0.0577
    9.500   0.677212   0.026956   0.011980   0.038936   0.000000  -0.161087  -0.000000   0.000000  -0.000000   43.6300     0.0579
   10.500   0.745552   0.032761   0.013407   0.046169   0.000000  -0.177315  -0.000000   0.000000   0.000000   43.6300     0.0581
   11.500   0.813026   0.039078   0.015232   0.054310   0.000000  -0.193327   0.000000  -0.000000  -0.000000   43.6300     0.0582


