  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 13:16:52	  -2.995	   0.000	 1002.81	   14.06	    -4.5	    22.6	    -4.0	   -23.5	     8.0	   -12.0
       0	 13:19:59	  -2.000	   0.000	 1002.77	   13.90	    -2.4	    24.1	    -3.5	   -24.0	     8.5	   -11.5
       0	 13:20:34	  -1.000	   0.000	 1002.84	   13.89	    -4.8	    23.2	    -2.8	   -24.5	     6.5	   -12.2
       0	 13:20:55	   0.000	   0.000	 1002.78	   13.87	    -5.0	    22.8	    -2.1	   -24.6	     6.3	   -11.9
       0	 13:21:13	   1.000	   0.000	 1002.82	   13.85	    -5.4	    22.3	    -2.1	   -24.8	     5.5	   -11.5
       0	 13:21:31	   2.000	   0.000	 1002.75	   13.83	    -5.1	    24.0	    -1.3	   -24.9	     5.2	   -11.6
       0	 13:21:53	   3.000	   0.000	 1002.77	   13.82	   -14.1	    24.7	    -2.0	   -25.0	     5.8	   -12.4
       0	 13:22:11	   3.995	   0.000	 1002.78	   13.82	   -17.8	    25.2	    -2.0	   -25.1	     5.9	   -13.3
       0	 13:22:29	   4.995	   0.000	 1002.82	   13.80	   -12.3	    21.9	    -0.8	   -25.8	     4.9	   -11.5
       0	 13:22:57	   6.000	   0.000	 1002.81	   13.76	    -3.8	    18.0	     0.5	   -25.9	     3.1	    -8.6
       0	 13:23:16	   6.995	   0.000	 1002.85	   13.76	    -2.3	    16.1	     1.4	   -26.5	     2.0	    -6.7
       0	 13:23:35	   8.000	   0.000	 1002.92	   13.76	    -3.9	    13.5	     2.0	   -27.0	     1.0	    -5.2
       0	 13:24:00	   9.000	   0.000	 1002.86	   13.74	    -3.3	    12.4	     2.1	   -27.2	     0.0	    -4.5
       0	 13:24:29	  10.000	   0.000	 1002.91	   13.74	    -2.8	    11.1	     2.8	   -26.9	    -0.5	    -4.1
       0	 13:24:51	  11.000	   0.000	 1002.87	   13.72	    -2.5	     9.6	     3.0	   -28.0	    -0.9	    -2.4
       0	 13:25:11	  12.000	   0.000	 1002.87	   13.72	    -0.5	     7.2	     4.1	   -27.2	    -2.1	    -0.3
       0	 13:25:37	  13.000	   0.000	 1002.84	   13.70	     0.7	     6.4	     4.3	   -29.0	    -2.8	     0.5
       0	 13:25:57	  14.005	   0.000	 1002.87	   13.69	    -0.5	     5.7	     4.1	   -27.6	    -2.4	     0.8
       0	 13:26:26	  15.005	   0.000	 1002.83	   13.67	    -2.3	     4.3	     4.8	   -27.9	    -2.6	     0.8
       0	 13:26:52	  16.000	   0.000	 1002.80	   13.66	    -3.4	     3.4	     4.5	   -27.5	    -3.5	     1.5
       0	 13:27:16	  17.000	   0.000	 1002.82	   13.66	    -4.1	     2.1	     5.1	   -27.8	    -3.2	     1.8
